,Quote,Genre,Category
24,"“I can listen no longer in silence. I must speak to you by such means as are within my reach. You pierce my soul. I am half agony, half hope. Tell me not that I am too late, that such precious feelings are gone for ever. I offer myself to you again with a heart even more your own than when you almost broke it, eight years and a half ago. Dare not say that man forgets sooner than woman, that his love has an earlier death. I have loved none but you. Unjust I may have been, weak and resentful I have been, but never inconstant. You alone have brought me to Bath. For you alone, I think and plan. Have you not seen this? Can you fail to have understood my wishes? I had not waited even these ten days, could I have read your feelings, as I think you must have penetrated mine. I can hardly write. I am every instant hearing something which overpowers me. You sink your voice, but I can distinguish the tones of that voice when they would be lost on others. Too good, too excellent creature! You do us justice, indeed. You do believe that there is true attachment and constancy among men. Believe it to be most fervent, most undeviating, in F. W.I must go, uncertain of my fate; but I shall return hither, or follow your party, as soon as possible. A word, a look, will be enough to decide whether I enter your father's house this evening or never.”",romance,Romance
25,“Say 'provoking' again. Your mouth looks provocative when you do.”,"fallen-anger,humor,nephlim,romance",Romance
26,“You know what charm is: a way of getting the answer yes without having asked any clear question.”,romance,Romance
27,"“You here to finish me off, Sweetheart?”","humor,hunger-games,katniss,mellark,peeta,romance",Romance
28,“The heart is an arrow. It demands aim to land true.”,"arrow,heart,inej,romance,suli-poverb",Romance
29,“Every great love starts with a great story...”,"romance,storytelling",Romance
30,"“I stood still, vision blurring, and in that moment, I heard my heart break. It was a small, clean sound, like the snapping of a flower's stem.”","claire-fraser,historical-fiction,romance,scotland,time-travel",Romance
31,"“And he took her in his arms and kissed her under the sunlit sky, and he cared not that they stood high upon the walls in the sight of many.”","gondor,romance",Romance
32,"“I knew, in the silence that followed, that anything could happen here. It might be too late: again, I might have missed my chance. But I would at least know I tried, that I took my heart and extended my hand, whatever the outcome.""Okay,"" he said. He took a breath. ""What would you do, if you could do anything?""I took a step toward him, closing the space between us. ""This,"" I said. And then I kissed him.”",romance,Romance
33,"“I'm not sentimental--I'm as romantic as you are. The idea, you know,is that the sentimental person thinks things will last--the romanticperson has a desperate confidence that they won't.”","love,romance,romantic,sentimentality",Romance
34,"“You could have fooled me. Everytime I called you, Luke said you were sick. I figured you were avoiding me. Again.""""I wasn't. I did want to talk to you. I've been thinking about you all the time.""""I've been thinking about you, too.""""I really was sick. I swear. I almost died back there on the ship, you know.""""I know. Everytime you almost die, I almost die myself.”","die,love,romance",Romance
35,“My soul will find yours.”,romance,Romance
36,"“Come sleep with me: We won't make Love, Love will make us.”","love,poem,relationships,romance",Romance
37,"“Peeta, how come I never know when you're having a nightmare?” I say.“I don't know. I don't think I cry out or thrash around or anything. I just come to, paralyzed with terror,” he says.“You should wake me,” I say, thinking about how I can interrupt his sleep two or three times on a bad night. About how long it can take to calm me down.“It's not necessary. My nightmares are usually about losing you,” he says. “I'm okay once I realize you're here.”","catching-fire,katniss-and-peeta,katniss-everdeen,love,peeta-mellark,romance,the-hunger-games",Romance
38,"“The Very first moment I beheld him, my heart was irrevocably gone.”",romance,Romance
39,"“Sometimes I wonder if there's something wrong with me. Perhaps I've spent too long in the company of my literary romantic heroes, and consequently my ideals and expectations are far too high.”",romance,Romance
40,"“When one is in love, one always begins by deceiving one's self, and one always ends by deceiving others. That is what the world calls a romance.”",romance,Romance
41,"“You’re dangerous,” he says.“Why?”“Because you make me believe in the impossible”",romance,Romance
42,"“I wonder how many people don't get the one they want, but end up with the one they're supposed to be with.”","couples,deep,dissapointment,fate,heart,inspirational,love,people,romance",Romance
43,"“I’ve been fighting to be who I am all my life. What’s the point of being who I am, if I can’t have the person who was worth all the fighting for?”","fighting,funny,humour,husband,inspirational,love,lover,relationships,romance,spiritual,sweet,wife",Romance
44,"“My only love sprung from my only hate!Too early seen unknown, and known too late!Prodigious birth of love it is to me,That I must love a loathed enemy.”","romance,romeo-and-juliet",Romance
45,"“I am not an angel,' I asserted; 'and I will not be one till I die: I will be myself. Mr. Rochester, you must neither expect nor exact anything celestial of me - for you will not get it, any more than I shall get it of you: which I do not at all anticipate.”","character,empowerment,flaws,freedom,gender,ideal-woman,identity,image,independence,integrity,love,men,realism,romance,self-awareness,self-determination,women",Romance
46,"“I'm about to make a wild, extreme and severe relationship rule: the word busy is a load of crap and is most often used by assholes. The word ""busy"" is the relationship Weapon of Mass Destruction. It seems like a good excuse, but in fact in every silo you uncover, all you're going to find is a man who didn't care enough to call. Remember men are never to busy to get what they want.”","behrendt,call,dating,faith,greg,he-s-not-just-into-you,love,marriage,romance,true,true-love,truth",Romance
47,“Romance is the glamour which turns the dust of everyday life into a golden haze. ”,"inspiration,love,romance",Romance
48,"“Sometimes when I'm alone, I take the pearl from where it lives in my pocket and try to remember the boy with the bread, the strong arms that warded off nightmares on the train, the kisses in the arena.”","katniss,love,mockingjay,peeta,romance",Romance
49,"“So it’s true, when all is said and done, grief is the price we pay for love.”","grief,grief-inspirational,heartbreak,life,life-lessons,love,love-hurts,love-story,price-of-love,prices,romance,sad,sad-but-true,sadness,true-love",Romance
50,"“When someone cries so hard that it hurts their throat, it is out of frustration or knowing that no matter what you can do or attempt to do can change the situation. When you feel like you need to cry, when you want to just get it out, relieve some of the pressure from the inside - that is true pain. Because no matter how hard you try or how bad you want to, you can't. That pain just stays in place. Then, if you are lucky, one small tear may escape from those eyes that water constantly. That one tear, that tiny, salty, droplet of moisture is a means of escape. Although it's just a small tear, it is the heaviest thing in the world. And it doesn't do a damn thing to fix anything.”","crying,fiction,pain,romance",Romance
51,“thus with a kiss I die”,"history,romance",Romance
52,"“Sometimes you wake up from a dream. Sometimes you wake up in a dream. And sometimes, every once in a while, you wake up in someone else's dream. ”","fiction,georgina,romance,succubus,vampire",Romance
53,"“In our time together, you claimed a special place in my heart, one I'll carry with me forever and that no one can ever replace.”",romance,Romance
54,"“Moments, when lost, can't be found again. They're just gone.”","bellys,love,missed-chances,romance",Romance
55,"“She wanted something else, something different, something more. Passion and romance, perhaps, or maybe quiet conversations in candlelit rooms, or perhaps something as simple as not being second.”","love,passion,romance",Romance
56,"“Romance is thinking about your significant other, when you are supposed to be thinking about something else.”","love,nicholas-sparks,romance",Romance
57,"“When it comes to men who are romantically interested in you, it’s really simple. Just ignore everything they say and only pay attention to what they do.”",romance,Romance
58,“It's bullshit to think of friendship and romance as being different. They're not. They're just variations of the same love. Variations of the same desire to be close.”,"friendship,love,romance",Romance
59,"“I belong to my beloved, and my beloved is mine.”","love,romance",Romance
60,"“He dug so deeply into her sentiments that in search of interest he found love, because by trying to make her love him he ended up falling in love with her. Petra Cotes, for her part, loved him more and more as she felt his love increasing, and that was how in the ripeness of autumn she began to believe once more in the youthful superstition that poverty was the servitude of love. Both looked back then on the wild revelry, the gaudy wealth, and the unbridled fornication as an annoyance and they lamented that it had cost them so much of their lives to find the paradise of shared solitude. Madly in love after so many years of sterile complicity, they enjoyed the miracle of living each other as much at the table as in bed, and they grew to be so happy that even when they were two worn-out people they kept on blooming like little children and playing together like dogs.”","companionship,love,romance",Romance
61,"“The fact is, I love him. He's the boy I want and one day he'll be MINE.”",romance,Romance
62,“Oh no. Don't smile. You'll kill me. I stop breathing when you smile.”,"breathing,desire,humor,love,romance,smile,tease",Romance
63,"“Those sweet lips. My, oh my, I could kiss those lips all night long.Good things come to those who wait.”","desire,funny,honesty,humor,humour,love,lust,passion,relationships,romance,sex,truth,wisdom,young,young-adult,young-adults,youth",Romance
64,"“It is an absolute human certainty that no one can know his own beauty or perceive a sense of his own worth until it has been reflected back to him in the mirror of another loving, caring human being.”","affection,alone,beauty,camaraderie,caring,caring-for-others,closeness,companionship,compassion,connectedness,connection,disconnection,empathy,estrangement,fellowship,friendship,friendship-quotes,hug,hugs,intimacy,isolation,kindness,kindred-spirits,loneliness,love,love-at-first-sight,love-quotes,lovers,loving,loving-someone,mirror,mutuality,partnership,reciprocal,reciprocity,reflected-in-you,relationship,relationship-quotes,relationships,romance,self-belief,self-esteem,self-hatred,self-realization,self-worth,self-worthiness,soul-mate,soulmates,togetherness,touch,twin-flames",Romance
65,"“Ye are Blood of my Blood, and Bone of my Bone,I give ye my Body, that we Two might be One.I give ye my Spirit, 'til our Life shall be Done.”","love,marriage,romance",Romance
66,"“Perhaps, after all, romance did not come into one’s life with pomp and blare, like a gay knight riding down; perhaps it crept to one’s side like an old friend through quiet ways; perhaps it revealed itself in seeming prose, until some sudden shaft of illumination flung athwart its pages betrayed the rhythm and the music, perhaps . . . perhaps . . . love unfolded naturally out of a beautiful friendship, as a golden-hearted rose slipping from its green sheath.”","love,romance",Romance
67,"“One can't fight with oneself, for this battle has only one loser.”",romance,Romance
68,"“If you can capture a woman's imagination, then you will have her. But imagination is a strange creature. It needs time and distance to function properly.”","love,romance",Romance
69,“You are speaking of my future lover. Be more respectful.”,"eric-northman,humor,romance,sookie-stackhouse,true-blood",Romance
70,“For never was a story of more woe than this of Juliet and her Romeo.”,"romance,teen-suicide,tragedy",Romance
71,"“You really love her don't you,"" she said.With all my heart.""She looked as sad as I'd ever seen her.What's your heart telling you to do?""I don't know.""Maybe"", she said gently,""You're trying to hard to hear it.”","love,romance",Romance
72,"“If I die, I will wait for you, do you understand? No matter how long. I will watch from beyond to make sure you live every year you have to its fullest, and then we’ll have so much to talk about when I see you again… (Bones)”","death,eternity,love,romance,waiting",Romance
73,"“Love is a luxury.""""No. Love is an element.""An element. Like air to breathe, earth to stand on.”","akiva,karou,love,romance",Romance
74,“I honestly have no idea how to live without you.”,romance,Romance
75,"“He sighed. ""The clouds I can handle. But I can't fight with an eclipse.”","jacob-black,romance",Romance
76,"“Damn me to hell or take me to heaven, but for Gods sake, do it now....”",romance,Romance
77,"“By you, I am forever undone.”","cardan-greenbriar,love,romance",Romance
78,"“You wanted hearts and flowers,” he murmurs.I blink at him, not quite believing what I’m seeing.“You have my heart.” And he waves toward the room.“And here are the flowers,” I whisper, completing his sentence. “Christian, it’s lovely.”",romance,Romance
79,"“Oh, aye, Sassenach. I am your master . . . and you're mine. Seems I canna possess your soul without losing my own.”",romance,Romance
80,"“We all know him to be a proud, unpleasant sort of man; but this would be nothing if you really liked him.”","affection,romance",Romance
81,"“Here's something else to think about: calling when you say you're going to is the very first brick in the house you are building of love and trust. If he can't lay this one stupid brick down, you ain't never gonna have a house baby, and it's cold outside.”","behrendt,dating,greg,he-s-not-just-into-you,love,marriage,romance,truth",Romance
82,"“If a man wants you, nothing can keep him away. If he doesn't want you, nothing can make him stay.”",romance,Romance
83,“Don't get your panties in such a twist... and give me back mine.”,"erotica,fifty-shades,romance",Romance
84,“You always get more respect when you don't have a happy ending.”,"romance,writing",Romance
85,"“Does this mean you’re going to make love to me tonight, Christian?” Holy shit. Did I just say that? His mouth drops open slightly, but he recovers quickly.“No, Anastasia it doesn’t. Firstly, I don’t make love. I fuck… hard. Secondly, there’s a lot more paperwork to do, and thirdly, you don’t yet know what you’re in for. You could still run for the hills. Come, I want to show you my playroom.”My mouth drops open. Fuck hard! Holy shit, that sounds so… hot. But why are we looking at a playroom? I am mystified.“You want to play on your Xbox?” I ask. He laughs, loudly. “No, Anastasia, no Xbox, no Playstation. Come.”… Producing a key from his pocket, he unlocks yet another door and takes a deep breath.“You can leave anytime. The helicopter is on stand-by to take you whenever you want to go, you can stay the night and go home in the morning. It’s fine whatever you decide.”“Just open the damn door, Christian.”He opens the door and stands back to let me in. I gaze at him once more. I so want to know what’s in here. Taking a deep breath I walk in.And it feels like I’ve time-traveled back to the sixteenth century and the Spanish Inquisition.Holy fuck.”","bdsm,romance",Romance
86,“Don't leave a piece of jewelry at his house so you can go back and get it later; he may be with his real girlfriend.”,"advice,affairs,dating,jewelry,life,love,men,relationships,romance,women",Romance
87,“Romance novels are birthday cake and life is often peanut butter and jelly. I think everyone should have lots of delicious romance novels lying around for those times when the peanut butter of life gets stuck to the roof of your mouth.”,"birthday,cake,life,novels,romance",Romance
88,"“That's the choice. I love him, with all that, because of all that. On purpose. I love him on purpose.”",romance,Romance
89,“Falling for him would be like cliff diving. It would be either the most exhilarating thing that ever happened to me or the stupidest mistake I’d ever make.”,"love,love-struck,romance",Romance
90,"“Have I told you how hideous you look tonight?” Cardan asks, leaning back in the elaborately carved chair, the warmth of his words turning the question into something like a compliment.“No” I say, glad to be annoyed back into the present. “Tell me.”""I can't.”","hideous,hideous-beauty,love,romance",Romance
91,"“It is a long way to Ireland, Janet, and I am sorry to send my little friend on such weary travels: but if I can't do better, how is it to be helped? Are you anything akin to me, do you think, Jane?""I could risk no sort of answer by this time: my heart was still. ""Because, he said, ""I sometimes have a queer feeling with regard to you - especially when you are near me, as now: it is as if I had a string somewhere under my left ribs, tightly and inextricably knotted to a similar string situated in the corresponding quarter of your little frame. And if that boisterous channel, and two hundred miles or so of land some broad between us, I am afraid that cord of communion will be snapt; and then I've a nervous notion I should take to bleeding inwardly. As for you, - you'd forget me.”","love,romance",Romance
92,"“One day, when I am a braver man, I will tell her these things, and then I will look her in the eye tell her I love her and ask her to be only mine. But until that day, we're just friends.”","love,romance",Romance
93,"“Let’s start with this statistic: You are delicious. Be brave, my sweet. I know you can get lonely. I know you can crave companionship and sex and love so badly that it physically hurts. But I truly believe that the only way you can find out that there’s something better out there is to first believe there’s something better out there. What other choice is there?”","call,dating,dating-advice,guys,love,marriage,romance,truth",Romance
94,"“Maybe the first time you saw her you were ten. She was standing in the sun scratching her legs. Or tracing letters in the dirt with a stick. Her hair was being pulled. Or she was pulling someone's hair. And a part of you was drawn to her, and a part of you resisted--wanting to ride off on your bicycle, kick a stone, remain uncomplicated. In the same breath you felt the strength of a man, and a self-pity that made you feel small and hurt. Part of you thought: Please don't look at me. If you don't, I can still turn away. And part of you thought: Look at me.”","love,romance",Romance
95,"“I love that you get cold when it's 71 degrees out. I love that it takes you an hour and a half to order a sandwich. I love that you get a little crinkle above your nose when you're looking at me like I'm nuts. I love that after I spend the day with you, I can still smell your perfume on my clothes. And I love that you are the last person I want to talk to before I go to sleep at night. And it's not because I'm lonely, and it's not because it's New Year's Eve. I came here tonight because when you realize you want to spend the rest of your life with somebody, you want the rest of your life to start as soon as possible.”","crazy,declarations-of-love,foibles,future,harry-burns,in-love,life,love,marriage-proposal,new-year-s-eve,romance,sally-albright,simple-life,simple-pleasures,true-love,when-harry-met-sally",Romance
96,"“We kiss all the time."" I clear my throat, then add, ""We just...do it in private."" ""A smug expression crosses his face. ""I don't buy it for a second, 'cause if you were my girlfriend and a stud like me was livin' in your house, I'd kiss you in front of the guy every chance I got as a reminder."" ""A reminder of w-w-what?"" ""That you were mine.”","boyfriend,couples,kiss,love,relationships,romance",Romance
97,"“Yes, I decided, a man can truly change. The events of the past year have taught me much about myself, and a few universal truths. I learned, for instance, that while wounds can be inflicted easily upon those we love, it's often much more difficult to heal them. Yet the process of healing those wounds provided the richest experience of my life, leading me to believe that while I've often overestimated what I could accomplish in a day, I had underestimated what I could do in a year. But most of all, I learned that it's possible for two people to fall in love all over again, even when there's been a lifetime of disappointment between them.”","hope,love,personal-growth,romance",Romance
98,"“No. No, I don't believe you'd betray me with her. I don't believe you'd cheat on me. But I'm afraid, and I'm sick in my heart that you might look at her, then at me. And regret.”","fiction,mystery,romance",Romance
99,"“Isn't it funny how the memories you cherish before a breakup can become your worst enemies afterwards? The thoughts you loved to think about, the memories you wanted to hold up to the light and view from every angle--it suddenly seems a lot safer to lock them in a box, far from the light of day and throw away the key. It's not an act of bitterness. It's an act if self-preservation. It's not always a bad idea to stay behind the window and look out at life instead, is it?”","allyson-braithwaite-condie,box,breakup,church,day,first,humor,lockup,love,memories,novel,pain,religion,romance",Romance
100,"“Kissing - and I mean like, yummy, smacking kissing - is the most delicious, most beautiful and passionate thing that two people can do, bar none. Better than sex, hands down.”","courtship,kissing,love,romance",Romance
101,"“And,” Annabeth continued, “it reminds me how long we’ve known each other. We were twelve, Percy. Can you believe that?”“No, he admitted. “So…you knew you liked me from that moment?”She smirked. “I hated you at first. You annoyed me. Then I tolerated you for a few years. Then—”“Okay, fine.”She leaned in and kissed: him a good, proper kiss without anyone watching—no Romans anywhere, no screaming satyr chaperones. She pulled away. “I missed you, Percy.”Percy wanted to tell her the same thing, but it seemed too small a comment. While he had been on the Roman side, he’d kept himself alive almost solely by thinking of Annabeth. I missed you didn’t really cover that.”","absence,annabeth-chase,heroes-of-olympus,missing-you,percy-jackson,percy-jackson-and-the-olympians,romance,separation,the-mark-of-athena",Romance
102,"“What you are is a fucking tragedy, Simon Snow. You literally couldn't be a bigger mess.""He tries to kiss me, but I pull back- ""And you like that?""""I love it."" He says""Why?""""Because we match.”","adorable,love,mess,romance",Romance
103,"“If I let myself love you, I won't throw myself in front of her. I'll throw myself in front of you.”","romance,sad,sweet",Romance
104,"“Only love of a good woman will make a man question every choice, every action. Only love makes a warrior hesitate for fear that his lady will find him cruel. Only love makes a man both the best he will ever be, and the weakest. Sometimes all in the same moment. -Wicked ”","laurell-k-hamilton,love,romance,the-harlequin,true-love,wicked",Romance
105,"“There is a time for everything, and a season for every activity under heaven:a time to be born and a time to die,a time to plant and a time to uproot,a time to kill and a time to heal,a time to tear down and a time to build,a time to weep and a time to laugh,a time to mourn and a time to dance,a time to scatter stones and a time to gather them,a time to embrace and a time to refrain,a time to search and a time to give up,a time to keep and a time to throw away,a time to tear and a time to mend,a time to be silent and a time to speak,a time to love and a time to hate,a time for war and a time for peace.(Ecclesiastes 3:1-8, NIV)”","ecclesiastes,life,love,romance,scripture,youth",Romance
106,"“Nerd girls are the world’s most underutilized romantic resource. And guys, do not tell me that nerd girls are not hot because that shows a Paris Hilton-esque failure to understand hotness.”","nerdfighters,nerdiness,romance",Romance
107,"“I felt like an animal, and animals don’t know sin, do they?”","body,cool,desire,erotic,erotica,funny,girl,honesty,humor,humour,incest,love,lust,passion,relationships,romance,sex,sexuality,sister,taboo,truth,wisdom",Romance
108,"“Ever since I’ve met you, I’ve wanted to break every rule.” Aiden turned away, the muscles in his neck tensing. He sighed. “You’ll become the centre of someone’s world one day. And he’ll be the luckiest son of a bitch on this earth.”",romance,Romance
109,"“Some people claim that marriage interferes with romance. There's no doubt about it. Anytime you have a romance, your wife is bound to interfere.”","marriage,romance,sex",Romance
110,"“I'd love to, she finally said,""on one condition.""I steadied myself, hoping it wasn't something too awful.""Yes?""""You have to promise that you won't fall in love with me.""I knew she was kidding me by the way she laughed, and I couldn't help but breathe a sigh of relief.Sometimes, I had to admit, Jamie had a pretty good sense of humor.I smiled and gave her my word.”","love,romance",Romance
111,"“My heart only ever had one thought, one want. One need. Despite all, in spite of all...All my heart has ever wanted is you.”","adoration,dream,longing,love,need,romance,yearning",Romance
112,“Don't kiss me like a woman if you're going to treat me like a child.”,"kissing,romance",Romance
113,"“To fall in love with God is the greatest romance; to seek him the greatest adventure; to find him, the greatest human achievement.”","adventure,confessions,love,romance",Romance
114,“Do you want to know why men name their penis? So the most important decisions in their life aren't made by a stranger.”,"romance,sobriquet",Romance
115,“Every woman wants a man who'll fall in love with her soul as well as her body.”,"love,romance,women",Romance
116,“What about when someone doesn't need a shoulder? What if they need the arms?”,"love,romance",Romance
117,"“Well, that depends, I suppose. I heard someone once say that men dance the same way they have sex. So, if you want everyone here to think you're the kind of guy who just sits around and—"" He stood up. ""Let's dance.”","dancing,fiction,georgina,persuasion,romance,succubus,vampire",Romance
118,"“You were just worried about me."" An exhale, relieved that I had understood. ""Yeah""I turned. ""Because you think I'm worth it""He put his fingers under my chin. ""I absolutely think your worth it.""""But you don't think you are.""His mouth opened. Shut.""That's what this is about, Derek. You won't let us worry about you because you don't think you're worth it. But I do. I absolutely do.”","necromancy,romance,young-adult",Romance
119,"“You picked a lemon, throw it away lemonade is overrated. Freaks should remain at the circus, not in your apartment. You already have one asshole. You don’t need another. Make a space in your life for the glorious things you deserve. Have faith.”","busy,call,dating,dating-advice,faith,guys,love,romance",Romance
120,“I have tried to let you go and I cannot. I cannot stop thinking of you. I cannot stop dreaming about you.”,"lovers,romance,swoon",Romance
121,"“To be rejected by someone doesn't mean you should also reject yourself or that you should think of yourself as a lesser person. It doesn't mean that nobody will ever love you anymore. Remember that only ONE person has rejected you at the moment, and it only hurt so much because to you, that person's opinion symbolized the opinion of the whole world, of God.”","breakup,broken,broken-heart,broken-hearted,broken-hearted-quotes,dating,faith,healing,heartache,heartbreak,heartbroken,hope,hurt,hurt-feelings,hurting,hurting-heart,inspirational,life,life-lessons,love,romance",Romance
122,"“He did not care if she was heartless, vicious and vulgar, stupid and grasping, he loved her. He would rather have misery with one than happiness with the other.”","love,misery,obsession,romance",Romance
123,"“She is all the great heroines of the world in one. She is more than an individual. I love her, and I must make her love me. I want to make Romeo jealous. I want the dead lovers of the world to hear our laughter, and grow sad. I want a breath of our passion to stir dust into consciousness, to wake their ashes into pain. ”",romance,Romance
124,“Why do people always assume that volume will succeed when logic won’t? - Damon”,"argument,damon,elena,fiction,romance,vampire",Romance
125,"“When you loved someone and had to let them go, there will always be that small part of yourself that whispers, ""What was it that you wanted and why didn't you fight for it?”","best-friends,betrayal,boyfriends,break-ups,dating,divorce,family,friends,friendships,girlfriends,lost-love,love,loved-ones,lovers,marriage,moving-on,parents,ponderings,reflection,relationships,romance,senseless,soulmates,true-love,unrequited-love",Romance
126,“You don’t take away my choices. You are my choice.”,"love,romance",Romance
127,"“The letter had been crumpled up and tossed onto the grate. It had burned all around the edges, so the names at the top and bottom had gone up in smoke. But there was enough of the bold black scrawl to reveal that it had indeed been a love letter. And as Hannah read the singed and half-destroyed parchment, she was forced to turn away to hide the trembling of her hand. —should warn you that this letter will not be eloquent. However, it will be sincere, especially in light of the fact that you will never read it. I have felt these words like a weight in my chest, until I find myself amazed that a heart can go on beating under such a burden. I love you. I love you desperately, violently, tenderly, completely. I want you in ways that I know you would find shocking. My love, you don't belong with a man like me. In the past I've done things you wouldn't approve of, and I've done them ten times over. I have led a life of immoderate sin. As it turns out, I'm just as immoderate in love. Worse, in fact. I want to kiss every soft place of you, make you blush and faint, pleasure you until you weep, and dry every tear with my lips. If you only knew how I crave the taste of you. I want to take you in my hands and mouth and feast on you. I want to drink wine and honey from you. I want you under me. On your back. I'm sorry. You deserve more respect than that. But I can't stop thinking of it. Your arms and legs around me. Your mouth, open for my kisses. I need too much of you. A lifetime of nights spent between your thighs wouldn't be enough. I want to talk with you forever. I remember every word you've ever said to me. If only I could visit you as a foreigner goes into a new country, learn the language of you, wander past all borders into every private and secret place, I would stay forever. I would become a citizen of you. You would say it's too soon to feel this way. You would ask how I could be so certain. But some things can't be measured by time. Ask me an hour from now. Ask me a month from now. A year, ten years, a lifetime. The way I love you will outlast every calendar, clock, and every toll of every bell that will ever be cast. If only you—And there it stopped.”","angst,hannah-appleton,love,love-letters,passion,rafe-bowman,romance",Romance
128,“He was contemplation and enthusiasm. Ambition and strong coffee. I could have looked at him forever.”,"love,romance",Romance
129,“What if you find your soul mate... at the wrong time?”,"daniel-grigori,luce-and-daniel,lucinda-price,passion,romance,soulmates",Romance
130,“It's only terrible to have nothing to wait for.”,romance,Romance
131,"“Memories were fine but you couldn't touch them, smell them or hold them. They were never exactly as the moment was, and they faded with time.”",romance,Romance
